,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
14,2022-07-29,000016,上证50,SSE 50,600519,贵州茅台,Kweichow Moutai Co Ltd,上海证券交易所,Shanghai  Exchange,17.12
35,2022-07-29,000016,上证50,SSE 50,601318,中国平安,Ping An Insurance (Group) Company of China Ltd,上海证券交易所,Shanghai  Exchange,6.551
13,2022-07-29,000016,上证50,SSE 50,600036,招商银行,China Merchants Bank Co Ltd,上海证券交易所,Shanghai  Exchange,6.232
39,2022-07-29,000016,上证50,SSE 50,601012,隆基绿能,"Longi Green Energy Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,5.353
0,2022-07-29,000016,上证50,SSE 50,600900,长江电力,China Yangtze Power Co Ltd,上海证券交易所,Shanghai  Exchange,3.899
32,2022-07-29,000016,上证50,SSE 50,601166,兴业银行,Industrial Bank,上海证券交易所,Shanghai  Exchange,3.71
31,2022-07-29,000016,上证50,SSE 50,601888,中国中免,China Tourism Group Duty Free Corporation Limited,上海证券交易所,Shanghai  Exchange,2.942
45,2022-07-29,000016,上证50,SSE 50,603259,药明康德,"WuXi AppTec Co., Ltd.",上海证券交易所,Shanghai  Exchange,2.75
11,2022-07-29,000016,上证50,SSE 50,600030,中信证券,CITIC Securities Co Ltd,上海证券交易所,Shanghai  Exchange,2.747
15,2022-07-29,000016,上证50,SSE 50,600887,伊利股份,Inner Mongolia Yili Industrial Group Co Ltd,上海证券交易所,Shanghai  Exchange,2.634
29,2022-07-29,000016,上证50,SSE 50,600276,恒瑞医药,Jiangsu Hengrui Medicine Co Ltd,上海证券交易所,Shanghai  Exchange,2.262
18,2022-07-29,000016,上证50,SSE 50,601398,工商银行,Industrial and Commercial Bank of China Ltd,上海证券交易所,Shanghai  Exchange,2.204
23,2022-07-29,000016,上证50,SSE 50,600438,通威股份,Tongwei Co Ltd,上海证券交易所,Shanghai  Exchange,2.087
10,2022-07-29,000016,上证50,SSE 50,600809,山西汾酒,Shanxi Xinghuacun Fen Wine Factory Co Ltd,上海证券交易所,Shanghai  Exchange,1.921
8,2022-07-29,000016,上证50,SSE 50,600309,万华化学,"Wanhua Chemical Group Co., Ltd.",上海证券交易所,Shanghai  Exchange,1.887
30,2022-07-29,000016,上证50,SSE 50,601899,紫金矿业,Zijin Mining Group Co Ltd,上海证券交易所,Shanghai  Exchange,1.848
17,2022-07-29,000016,上证50,SSE 50,600048,保利发展,"Poly Developments and Holdings Group Co., Ltd.",上海证券交易所,Shanghai  Exchange,1.719
40,2022-07-29,000016,上证50,SSE 50,603288,海天味业,Foshan Haitian Flavouring and Food Company Ltd.,上海证券交易所,Shanghai  Exchange,1.65
41,2022-07-29,000016,上证50,SSE 50,603799,华友钴业,"ZHEJIANG HUAYOU COBALT CO., LTD.",上海证券交易所,Shanghai  Exchange,1.539
20,2022-07-29,000016,上证50,SSE 50,601668,中国建筑,China State Construction Engineering Co Ltd,上海证券交易所,Shanghai  Exchange,1.517
7,2022-07-29,000016,上证50,SSE 50,600031,三一重工,Sany Heavy Industry Co Ltd,上海证券交易所,Shanghai  Exchange,1.455
2,2022-07-29,000016,上证50,SSE 50,600690,海尔智家,"Haier Smart Home Co., Ltd.",上海证券交易所,Shanghai  Exchange,1.347
19,2022-07-29,000016,上证50,SSE 50,601088,中国神华,China Shenhua Energy Co Ltd,上海证券交易所,Shanghai  Exchange,1.331
24,2022-07-29,000016,上证50,SSE 50,601288,农业银行,Agricultural Bank of China Co Ltd,上海证券交易所,Shanghai  Exchange,1.306
5,2022-07-29,000016,上证50,SSE 50,600837,海通证券,Haitong Securities Company Limited,上海证券交易所,Shanghai  Exchange,1.295
36,2022-07-29,000016,上证50,SSE 50,600436,片仔癀,Zhangzhou Pientzehuang Pharmaceutical Co Ltd,上海证券交易所,Shanghai  Exchange,1.281
26,2022-07-29,000016,上证50,SSE 50,601919,中远海控,"COSCO SHIPPING Holdings Co., Ltd.",上海证券交易所,Shanghai  Exchange,1.247
43,2022-07-29,000016,上证50,SSE 50,603986,兆易创新,GigaDevice Semiconductor (Beijing) Inc.,上海证券交易所,Shanghai  Exchange,1.133
21,2022-07-29,000016,上证50,SSE 50,601688,华泰证券,Huatai Securities Co Ltd,上海证券交易所,Shanghai  Exchange,1.121
12,2022-07-29,000016,上证50,SSE 50,600585,海螺水泥,Anhui Conch Cement Co Ltd,上海证券交易所,Shanghai  Exchange,1.12
6,2022-07-29,000016,上证50,SSE 50,600104,上汽集团,SAIC Motor Co Ltd,上海证券交易所,Shanghai  Exchange,1.086
44,2022-07-29,000016,上证50,SSE 50,603501,韦尔股份,"Will Semiconductor CO.,Ltd. Shanghai",上海证券交易所,Shanghai  Exchange,1.073
33,2022-07-29,000016,上证50,SSE 50,601601,中国太保,China Pacific Insurance (Group) Co Ltd,上海证券交易所,Shanghai  Exchange,0.992
9,2022-07-29,000016,上证50,SSE 50,600111,北方稀土,"China Northern Rare Earth (Group) High-Tech Co.,Ltd",上海证券交易所,Shanghai  Exchange,0.982
16,2022-07-29,000016,上证50,SSE 50,600893,航发动力,AVIC AVIATION ENGINE CORPORATION PLC.,上海证券交易所,Shanghai  Exchange,0.952
42,2022-07-29,000016,上证50,SSE 50,601211,国泰君安,"Guotai Junan Securities Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.935
3,2022-07-29,000016,上证50,SSE 50,600028,中国石化,China Petroleum & Chemical Corporation,上海证券交易所,Shanghai  Exchange,0.789
48,2022-07-29,000016,上证50,SSE 50,600905,三峡能源,"China Three Gorges Renewables (Group) Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.774
28,2022-07-29,000016,上证50,SSE 50,600196,复星医药,Shanghai Fosun Pharmaceutical (Group) Co Ltd,上海证券交易所,Shanghai  Exchange,0.761
1,2022-07-29,000016,上证50,SSE 50,600010,包钢股份,Inner Mongolia Baotou Steel Union Co Ltd,上海证券交易所,Shanghai  Exchange,0.74
25,2022-07-29,000016,上证50,SSE 50,600745,闻泰科技,"Wingtech Technology Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.737
34,2022-07-29,000016,上证50,SSE 50,601857,中国石油,PetroChina Co Ltd,上海证券交易所,Shanghai  Exchange,0.725
37,2022-07-29,000016,上证50,SSE 50,600570,恒生电子,Hundsun Technologies Inc.,上海证券交易所,Shanghai  Exchange,0.713
22,2022-07-29,000016,上证50,SSE 50,601628,中国人寿,China Life Insurance Company Limited,上海证券交易所,Shanghai  Exchange,0.667
4,2022-07-29,000016,上证50,SSE 50,600346,恒力石化,"Hengli Petrochemical Co.,Ltd.",上海证券交易所,Shanghai  Exchange,0.612
38,2022-07-29,000016,上证50,SSE 50,601633,长城汽车,Great Wall Motor Co Ltd,上海证券交易所,Shanghai  Exchange,0.61
27,2022-07-29,000016,上证50,SSE 50,600588,用友网络,"Yonyou Network Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.514
46,2022-07-29,000016,上证50,SSE 50,601066,中信建投,"China Securities Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.485
47,2022-07-29,000016,上证50,SSE 50,601995,中金公司,China International Capital Corporation Limited,上海证券交易所,Shanghai  Exchange,0.356
49,2022-07-29,000016,上证50,SSE 50,601728,中国电信,China Telecom Corporation Limited,上海证券交易所,Shanghai  Exchange,0.289
