成分券代码,日期,指数代码,指数名称,指数英文名称,成分券名称,成分券英文名称,交易所,交易所英文名称,权重,市盈率-动态,市净率,总市值,盈利,净资产
600519,2022-08-31,000016,上证50,SSE 50,贵州茅台,Kweichow Moutai Co Ltd,上海证券交易所,Shanghai  Exchange,17.536,39.53,12.26,2355370875000.0,59584388439.16013,192118342169.65744
601318,2022-08-31,000016,上证50,SSE 50,中国平安,Ping An Insurance (Group) Company of China Ltd,上海证券交易所,Shanghai  Exchange,6.891,6.63,0.94,798846549617.0,120489675658.6727,849836754911.7021
600036,2022-08-31,000016,上证50,SSE 50,招商银行,China Merchants Bank Co Ltd,上海证券交易所,Shanghai  Exchange,6.295,6.23,1.19,865545101026.0,138931797917.49597,727348824391.5967
601012,2022-08-31,000016,上证50,SSE 50,隆基绿能,"Longi Green Energy Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,4.504,29.8,7.3,386282815051.0,12962510572.181208,52915454116.57534
600900,2022-08-31,000016,上证50,SSE 50,长江电力,China Yangtze Power Co Ltd,上海证券交易所,Shanghai  Exchange,3.957,23.99,3.1,541711086859.0,22580703912.421844,174745511890.0
601166,2022-08-31,000016,上证50,SSE 50,兴业银行,Industrial Bank,上海证券交易所,Shanghai  Exchange,3.61,3.94,0.57,353785323600.0,89793229340.10152,620676006315.7896
601888,2022-08-31,000016,上证50,SSE 50,中国中免,China Tourism Group Duty Free Corporation Limited,上海证券交易所,Shanghai  Exchange,2.769,47.05,11.89,370579863528.0,7876298906.014878,31167356057.86375
600030,2022-08-31,000016,上证50,SSE 50,中信证券,CITIC Securities Co Ltd,上海证券交易所,Shanghai  Exchange,2.765,12.73,1.24,285147320990.0,22399632442.26237,229957516927.41934
603259,2022-08-31,000016,上证50,SSE 50,药明康德,"WuXi AppTec Co., Ltd.",上海证券交易所,Shanghai  Exchange,2.668,27.51,6.06,255062006839.0,9271610572.119228,42089440072.442245
600887,2022-08-31,000016,上证50,SSE 50,伊利股份,Inner Mongolia Yili Industrial Group Co Ltd,上海证券交易所,Shanghai  Exchange,2.655,17.69,4.63,216937806280.0,12263301655.172413,46854817771.05832
600276,2022-08-31,000016,上证50,SSE 50,恒瑞医药,Jiangsu Hengrui Medicine Co Ltd,上海证券交易所,Shanghai  Exchange,2.246,51.02,6.0,216248177089.0,4238498178.929831,36041362848.166664
601398,2022-08-31,000016,上证50,SSE 50,工商银行,Industrial and Commercial Bank of China Ltd,上海证券交易所,Shanghai  Exchange,2.228,4.52,0.52,1550367218337.0,343001596977.2124,2981475419878.846
600809,2022-08-31,000016,上证50,SSE 50,山西汾酒,Shanxi Xinghuacun Fen Wine Factory Co Ltd,上海证券交易所,Shanghai  Exchange,2.075,35.11,19.45,352027784450.0,10026425076.901169,18099114881.748074
600438,2022-08-31,000016,上证50,SSE 50,通威股份,Tongwei Co Ltd,上海证券交易所,Shanghai  Exchange,2.072,9.61,5.19,235025830687.0,24456381965.3486,45284360440.655106
600309,2022-08-31,000016,上证50,SSE 50,万华化学,"Wanhua Chemical Group Co., Ltd.",上海证券交易所,Shanghai  Exchange,2.018,13.15,3.86,273000969131.0,20760529971.939163,70725639671.24353
601899,2022-08-31,000016,上证50,SSE 50,紫金矿业,Zijin Mining Group Co Ltd,上海证券交易所,Shanghai  Exchange,1.841,8.88,2.9,224325740285.0,25261907689.75225,77353703546.55173
600048,2022-08-31,000016,上证50,SSE 50,保利发展,"Poly Developments and Holdings Group Co., Ltd.",上海证券交易所,Shanghai  Exchange,1.803,9.41,1.13,203736946974.0,21651110199.14984,180298183162.83188
603288,2022-08-31,000016,上证50,SSE 50,海天味业,Foshan Haitian Flavouring and Food Company Ltd.,上海证券交易所,Shanghai  Exchange,1.625,53.26,15.32,361439035386.0,6786313093.991739,23592626330.678852
601668,2022-08-31,000016,上证50,SSE 50,中国建筑,China State Construction Engineering Co Ltd,上海证券交易所,Shanghai  Exchange,1.564,3.76,0.62,214284951833.0,56990678678.989365,345620890053.2258
601088,2022-08-31,000016,上证50,SSE 50,中国神华,China Shenhua Energy Co Ltd,上海证券交易所,Shanghai  Exchange,1.452,7.4,1.65,609168821820.0,82320111056.75676,369193225345.4546
600690,2022-08-31,000016,上证50,SSE 50,海尔智家,"Haier Smart Home Co., Ltd.",上海证券交易所,Shanghai  Exchange,1.421,15.23,2.81,242156214598.0,15899948430.597504,86176588824.91103
603799,2022-08-31,000016,上证50,SSE 50,华友钴业,"ZHEJIANG HUAYOU COBALT CO., LTD.",上海证券交易所,Shanghai  Exchange,1.377,26.4,5.42,119076920975.0,4510489430.871212,21969911619.00369
600031,2022-08-31,000016,上证50,SSE 50,三一重工,Sany Heavy Industry Co Ltd,上海证券交易所,Shanghai  Exchange,1.359,25.17,2.11,132580194788.0,5267389542.630115,62834215539.336494
600837,2022-08-31,000016,上证50,SSE 50,海通证券,Haitong Securities Company Limited,上海证券交易所,Shanghai  Exchange,1.328,12.8,0.75,121758344000.0,9512370625.0,162344458666.66666
601288,2022-08-31,000016,上证50,SSE 50,农业银行,Agricultural Bank of China Co Ltd,上海证券交易所,Shanghai  Exchange,1.32,3.84,0.48,990451985861.0,257930204651.3021,2063441637210.4167
600436,2022-08-31,000016,上证50,SSE 50,片仔癀,Zhangzhou Pientzehuang Pharmaceutical Co Ltd,上海证券交易所,Shanghai  Exchange,1.318,67.96,18.82,178648259053.0,2628726589.9499707,9492468600.053135
601919,2022-08-31,000016,上证50,SSE 50,中远海控,"COSCO SHIPPING Holdings Co., Ltd.",上海证券交易所,Shanghai  Exchange,1.304,1.66,1.15,214499974317.0,129216851998.19278,186521716797.39133
603986,2022-08-31,000016,上证50,SSE 50,兆易创新,GigaDevice Semiconductor (Beijing) Inc.,上海证券交易所,Shanghai  Exchange,1.123,24.75,5.2,75590649302.0,3054167648.5656567,14536663327.307692
