成分券代码,日期,指数代码,指数名称,指数英文名称,成分券名称,成分券英文名称,交易所,交易所英文名称,权重,市盈率-动态,市净率,总市值,盈利,净资产
600522,2022-08-31,000905,中证500,CSI 500,中天科技,Jiangsu Zhongtian Technologies Co Ltd,上海证券交易所,Shanghai  Exchange,0.966,21.52,2.79,78497841996.0,3647669237.7323422,28135427238.70968
600256,2022-08-31,000905,中证500,CSI 500,广汇能源,"GUANGHUI ENERGY CO., LTD.",上海证券交易所,Shanghai  Exchange,0.924,8.1,3.54,83122460060.0,10262032106.17284,23480920920.903954
601615,2022-08-31,000905,中证500,CSI 500,明阳智能,MingYangSmartEnergyGroupLimited,上海证券交易所,Shanghai  Exchange,0.675,12.4,2.7,60710130064.0,4895978230.967742,22485233357.037037
600157,2022-08-31,000905,中证500,CSI 500,永泰能源,Wintime Energy Co Ltd,上海证券交易所,Shanghai  Exchange,0.611,24.8,0.89,38214554329.0,1540909448.75,42937701493.25842
9,2022-08-31,000905,中证500,CSI 500,中国宝安,"China Baoan Group Co.,Ltd.",深圳证券交易所,Shenzhen  Exchange,0.605,45.98,4.69,38920338732.0,846462347.3684211,8298579686.993603
300012,2022-08-31,000905,中证500,CSI 500,华测检测,"CENTRE TESTING INTERNATIONAL GROUP CO., LTD.",深圳证券交易所,Shenzhen  Exchange,0.588,49.87,7.51,35997329780.0,721823336.2743132,4793252966.711052
2384,2022-08-31,000905,中证500,CSI 500,东山精密,Suzhou Dongshan Precision Manufacturing Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.562,28.86,3.1,45961233750.0,1592558341.995842,14826204435.483871
603613,2022-08-31,000905,中证500,CSI 500,国联股份,"Beijing United Information Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.55,60.31,10.98,51550996182.0,854766973.6693748,4694990544.808743
600096,2022-08-31,000905,中证500,CSI 500,云天化,Yunnan Yuntianhua Co Ltd,上海证券交易所,Shanghai  Exchange,0.541,6.52,3.26,45181332661.0,6929652248.619633,13859304497.239265
300769,2022-08-31,000905,中证500,CSI 500,德方纳米,"Shenzhen Dynanonic Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.531,21.28,7.04,54478184208.0,2560065047.368421,7738378438.636364
