成分券代码,日期,指数代码,指数名称,指数英文名称,成分券名称,成分券英文名称,交易所,交易所英文名称,权重,市盈率-动态,市净率,总市值,盈利,净资产
600188,2022-08-31,000922,中证红利,CSI Dividend,兖矿能源,Yankuang Energy Group Company Limited,上海证券交易所,Shanghai  Exchange,4.251,6.76,4.11,243921602416.0,36083077280.47337,59348321755.71776
601088,2022-08-31,000922,中证红利,CSI Dividend,中国神华,China Shenhua Energy Co Ltd,上海证券交易所,Shanghai  Exchange,2.127,7.4,1.65,609168821820.0,82320111056.75676,369193225345.4546
600325,2022-08-31,000922,中证红利,CSI Dividend,华发股份,Huafa Industrial Co Ltd Zhuhai,上海证券交易所,Shanghai  Exchange,2.114,4.91,1.04,18122899153.0,3691018157.4338083,17425864570.192307
600327,2022-08-31,000922,中证红利,CSI Dividend,大东方,Wuxi Commercial Mansion Grand Orient Co Ltd,上海证券交易所,Shanghai  Exchange,1.986,13.79,1.27,4388506409.0,318238318.2741117,3455516857.4803147
2238,2022-08-31,000922,中证红利,CSI Dividend,天威视讯,Shenzhen Topway Video Communication Co Ltd,深圳证券交易所,Shenzhen  Exchange,1.73,55.93,2.74,6155628757.0,110059516.48489183,2246579838.321168
601225,2022-08-31,000922,中证红利,CSI Dividend,陕西煤业,Shaanxi Coal Industry Company Limited,上海证券交易所,Shanghai  Exchange,1.704,4.55,2.3,224051450000.0,49242076923.07693,97413673913.04349
601666,2022-08-31,000922,中证红利,CSI Dividend,平煤股份,Pingdingshan Tianan Coal Mining Co Ltd,上海证券交易所,Shanghai  Exchange,1.628,4.53,1.6,30468241968.0,6725881229.139072,19042651230.0
600873,2022-08-31,000922,中证红利,CSI Dividend,梅花生物,"Meihua Holdings Group Co., Ltd",上海证券交易所,Shanghai  Exchange,1.571,6.17,2.65,31763339267.0,5148029054.619124,11986165761.132076
600389,2022-08-31,000922,中证红利,CSI Dividend,江山股份,Nantong Jiangshan Agrochemical & Chemical Co Ltd,上海证券交易所,Shanghai  Exchange,1.551,6.76,4.59,16398213270.0,2425771193.7869825,3572595483.660131
600985,2022-08-31,000922,中证红利,CSI Dividend,淮北矿业,"Huaibei Mining Holdings Co.,Ltd.",上海证券交易所,Shanghai  Exchange,1.47,5.1,1.23,36347176301.0,7126897313.921569,29550549838.211384
600348,2022-08-31,000922,中证红利,CSI Dividend,华阳股份,"Shan Xi Hua Yang Group New Energy Co.,Ltd.",上海证券交易所,Shanghai  Exchange,1.455,6.94,2.1,46151950000.0,6650136887.608068,21977119047.619045
603878,2022-08-31,000922,中证红利,CSI Dividend,武进不锈,"JIANG SU WUJIN STAINLESS STEEL PIPE GROUP CO., LTD.",上海证券交易所,Shanghai  Exchange,1.448,21.15,1.42,3486601978.0,164851157.35224587,2455353505.633803
2003,2022-08-31,000922,中证红利,CSI Dividend,伟星股份,Zhejiang Weixing Industrial Development Co Ltd,深圳证券交易所,Shenzhen  Exchange,1.435,19.94,4.64,12436094616.0,623675758.0742227,2680192805.172414
36,2022-08-31,000922,中证红利,CSI Dividend,华联控股,China Union Holdings Co Ltd,深圳证券交易所,Shenzhen  Exchange,1.402,55.72,1.19,5861539399.0,105196328.05096914,4925663360.504202
550,2022-08-31,000922,中证红利,CSI Dividend,江铃汽车,Jiangling Motors Corp Ltd,深圳证券交易所,Shenzhen  Exchange,1.36,14.12,1.46,12775567200.0,904785212.4645892,8750388493.150684
600153,2022-08-31,000922,中证红利,CSI Dividend,建发股份,Xiamen C&D Inc,上海证券交易所,Shanghai  Exchange,1.357,7.01,0.9,38031921780.0,5425381138.373752,42257690866.666664
601006,2022-08-31,000922,中证红利,CSI Dividend,大秦铁路,Daqin Railway Co Ltd,上海证券交易所,Shanghai  Exchange,1.336,6.6,0.8,96635024291.0,14641670347.121212,120793780363.75
2763,2022-08-31,000922,中证红利,CSI Dividend,汇洁股份,"ShenZhen HuiJie Group Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,1.329,11.42,1.63,3324483640.0,291110651.48861647,2039560515.3374236
600395,2022-08-31,000922,中证红利,CSI Dividend,盘江股份,Guizhou Panjiang Refined Coal Co Ltd,上海证券交易所,Shanghai  Exchange,1.31,7.85,1.8,19534286535.0,2488444144.5859876,10852381408.333334
600971,2022-08-31,000922,中证红利,CSI Dividend,恒源煤电,Anhui Hengyuan Coal Industry and Electricity Power Co Ltd,上海证券交易所,Shanghai  Exchange,1.31,5.45,0.93,9588039023.0,1759273215.2293577,10309719379.569893
600027,2022-08-31,000922,中证红利,CSI Dividend,华电国际,Huadian Power International Corporation Ltd,上海证券交易所,Shanghai  Exchange,1.267,16.86,1.56,55468603168.0,3289952738.31554,35556796902.5641
600350,2022-08-31,000922,中证红利,CSI Dividend,山东高速,Shandong Hi-speed Company Limited,上海证券交易所,Shanghai  Exchange,1.248,8.32,0.9,25632498019.0,3080829088.8221154,28480553354.444443
937,2022-08-31,000922,中证红利,CSI Dividend,冀中能源,Jizhong Energy Resources Co Ltd,深圳证券交易所,Shenzhen  Exchange,1.24,4.71,1.25,24204795923.0,5139022488.959661,19363836738.4
600383,2022-08-31,000922,中证红利,CSI Dividend,金地集团,Gemdale Corporation,上海证券交易所,Shanghai  Exchange,1.231,13.17,0.84,51782273571.0,3931835502.733485,61645563775.0
600479,2022-08-31,000922,中证红利,CSI Dividend,千金药业,Zhuzhou Qianjin Pharmaceutical Co Ltd,上海证券交易所,Shanghai  Exchange,1.224,18.05,2.05,4143340608.0,229547956.12188366,2021141760.0000002
603886,2022-08-31,000922,中证红利,CSI Dividend,元祖股份,"Ganso Co., Ltd.",上海证券交易所,Shanghai  Exchange,1.181,36.19,3.17,4490400000.0,124078474.7167726,1416529968.4542587
600028,2022-08-31,000922,中证红利,CSI Dividend,中国石化,China Petroleum & Chemical Corporation,上海证券交易所,Shanghai  Exchange,1.176,5.92,0.66,515763353092.0,87122188022.2973,781459625896.9696
601328,2022-08-31,000922,中证红利,CSI Dividend,交通银行,Bank of Communications Co LTD,上海证券交易所,Shanghai  Exchange,1.17,3.86,0.42,340123288034.0,88114841459.5855,809817352461.9048
90,2022-08-31,000922,中证红利,CSI Dividend,天健集团,"SHENZHEN TAGEN GROUP CO., LTD.",深圳证券交易所,Shenzhen  Exchange,1.168,4.0,1.02,10220943524.0,2555235881.0,10020532866.666666
2088,2022-08-31,000922,中证红利,CSI Dividend,鲁阳节能,"LUYANG ENERGY-SAVING MATERIALS CO., LTD.",深圳证券交易所,Shenzhen  Exchange,1.165,21.2,5.18,13493763417.0,636498274.3867924,2604973632.6254826
601098,2022-08-31,000922,中证红利,CSI Dividend,中南传媒,China South Publishing & Media Group Co Ltd,上海证券交易所,Shanghai  Exchange,1.158,10.84,1.28,18067760000.0,1666767527.6752768,14115437500.0
