代码,序号,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
688293,1,N奥浦迈,127.24,58.65,47.04,124349.0,1581989730.0,14.68,134.05,122.28,125.0,80.2,,73.47,97.75,4.9,10431176935.0,2153481269.0,0.19,-0.5,58.65,58.65
688182,2,灿勤科技,14.74,20.03,2.46,98014.0,137731349.0,20.52,14.74,12.22,12.34,12.28,5.44,13.84,103.59,2.88,5896000000.0,1044102004.0,0.0,0.0,-2.25,-38.71
300563,3,神宇股份,15.52,20.03,2.59,257108.0,381644893.4,21.11,15.52,12.79,13.0,12.93,3.31,20.94,37.1,2.89,2775325604.0,1905284228.0,0.0,0.0,36.38,7.85
688256,4,寒武纪-U,80.78,19.99,13.46,165613.0,1291388854.0,19.77,80.78,67.47,67.47,67.32,4.85,6.84,-26.01,5.93,32377807427.0,19563756403.0,0.0,0.0,25.22,-15.06
688418,5,震有科技,11.42,18.83,1.81,84391.0,91865667.0,19.98,11.53,9.61,9.61,9.61,5.33,6.36,-22.92,2.03,2211026200.0,1514378084.0,0.53,-0.17,19.08,-24.77
300045,6,华力创通,8.66,17.98,1.32,691002.0,580111937.01,21.12,8.81,7.26,7.3,7.34,6.71,15.6,-364.39,3.15,5738767544.0,3836391059.0,-0.12,0.12,15.78,-25.54
300053,7,欧比特,10.25,16.21,1.43,1118064.0,1127097428.33,20.41,10.58,8.78,8.8,8.82,4.52,17.54,214.86,2.33,7197121673.0,6533374600.0,0.29,0.49,26.54,0.79
300545,8,联得装备,20.83,13.7,2.51,77559.0,157921190.22,16.65,21.55,18.5,18.51,18.32,2.28,6.93,65.29,2.62,3702379566.0,2331403312.0,0.14,0.24,30.92,-9.4
688189,9,南新制药,18.96,12.86,2.16,62604.0,115785800.0,16.79,19.48,16.66,16.75,16.8,2.46,4.47,104.32,2.63,3716160000.0,2654400000.0,-0.16,-0.21,52.29,-24.64
300342,10,天银机电,10.67,11.96,1.14,365355.0,383760243.95,19.31,11.4,9.56,9.64,9.53,2.36,8.78,88.47,3.01,4535124656.0,4441367334.0,0.0,0.0,22.36,-19.23
