成分券代码,日期,指数代码,指数名称,指数英文名称,成分券名称,成分券英文名称,交易所,交易所英文名称,权重,市盈率-动态,市净率,总市值,盈利,净资产
600519,2022-08-31,000300,沪深300,CSI 300,贵州茅台,Kweichow Moutai Co Ltd,上海证券交易所,Shanghai  Exchange,6.326,39.53,12.26,2355370875000.0,59584388439.16013,192118342169.65744
300750,2022-08-31,000300,沪深300,CSI 300,宁德时代,"Contemporary Amperex Technology Co., Limited.",深圳证券交易所,Shenzhen  Exchange,3.536,69.66,8.15,1137894011724.0,16334970021.877693,139618897144.04907
601318,2022-08-31,000300,沪深300,CSI 300,中国平安,Ping An Insurance (Group) Company of China Ltd,上海证券交易所,Shanghai  Exchange,2.486,6.63,0.94,798846549617.0,120489675658.6727,849836754911.7021
600036,2022-08-31,000300,沪深300,CSI 300,招商银行,China Merchants Bank Co Ltd,上海证券交易所,Shanghai  Exchange,2.271,6.23,1.19,865545101026.0,138931797917.49597,727348824391.5967
858,2022-08-31,000300,沪深300,CSI 300,五 粮 液,Wuliangye Yibin Co Ltd,深圳证券交易所,Shenzhen  Exchange,1.699,20.8,6.13,628199439529.0,30201896131.201923,102479517052.03915
601012,2022-08-31,000300,沪深300,CSI 300,隆基绿能,"Longi Green Energy Technology Co., Ltd.",上海证券交易所,Shanghai  Exchange,1.625,29.8,7.3,386282815051.0,12962510572.181208,52915454116.57534
600900,2022-08-31,000300,沪深300,CSI 300,长江电力,China Yangtze Power Co Ltd,上海证券交易所,Shanghai  Exchange,1.427,23.99,3.1,541711086859.0,22580703912.421844,174745511890.0
2594,2022-08-31,000300,沪深300,CSI 300,比亚迪,BYD Co Ltd,深圳证券交易所,Shenzhen  Exchange,1.367,114.17,8.5,820942285110.0,7190525401.681703,96581445307.05882
333,2022-08-31,000300,沪深300,CSI 300,美的集团,"Midea Group CO., LTD",深圳证券交易所,Shenzhen  Exchange,1.365,11.74,2.9,375443875042.0,31979887141.56729,129463405186.89656
601166,2022-08-31,000300,沪深300,CSI 300,兴业银行,Industrial Bank,上海证券交易所,Shanghai  Exchange,1.303,3.94,0.57,353785323600.0,89793229340.10152,620676006315.7896
300059,2022-08-31,000300,沪深300,CSI 300,东方财富,East Money Information Co Ltd,深圳证券交易所,Shenzhen  Exchange,1.229,32.56,4.73,289390159714.0,8887904168.120392,61181851947.99154
601888,2022-08-31,000300,沪深300,CSI 300,中国中免,China Tourism Group Duty Free Corporation Limited,上海证券交易所,Shanghai  Exchange,0.999,47.05,11.89,370579863528.0,7876298906.014878,31167356057.86375
600030,2022-08-31,000300,沪深300,CSI 300,中信证券,CITIC Securities Co Ltd,上海证券交易所,Shanghai  Exchange,0.997,12.73,1.24,285147320990.0,22399632442.26237,229957516927.41934
2475,2022-08-31,000300,沪深300,CSI 300,立讯精密,"Luxshare Precision Industry Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.974,35.48,6.99,268538728430.0,7568735299.6054125,38417557715.30758
603259,2022-08-31,000300,沪深300,CSI 300,药明康德,"WuXi AppTec Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.963,27.51,6.06,255062006839.0,9271610572.119228,42089440072.442245
600887,2022-08-31,000300,沪深300,CSI 300,伊利股份,Inner Mongolia Yili Industrial Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.958,17.69,4.63,216937806280.0,12263301655.172413,46854817771.05832
568,2022-08-31,000300,沪深300,CSI 300,泸州老窖,Luzhou Lao Jiao Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.902,29.99,13.71,331849199638.0,11065328430.743582,24204901505.324577
2714,2022-08-31,000300,沪深300,CSI 300,牧原股份,"Muyuan Foodstuff Co., Ltd",深圳证券交易所,Shenzhen  Exchange,0.817,-23.49,7.05,314007483247.0,-13367708950.48957,44540068545.67376
600276,2022-08-31,000300,沪深300,CSI 300,恒瑞医药,Jiangsu Hengrui Medicine Co Ltd,上海证券交易所,Shanghai  Exchange,0.81,51.02,6.0,216248177089.0,4238498178.929831,36041362848.166664
601398,2022-08-31,000300,沪深300,CSI 300,工商银行,Industrial and Commercial Bank of China Ltd,上海证券交易所,Shanghai  Exchange,0.804,4.52,0.52,1550367218337.0,343001596977.2124,2981475419878.846
651,2022-08-31,000300,沪深300,CSI 300,格力电器,"Gree Electric Appliances,Inc. of Zhuhai",深圳证券交易所,Shenzhen  Exchange,0.791,8.11,1.95,185949017568.0,22928362215.536377,95358470547.6923
300760,2022-08-31,000300,沪深300,CSI 300,迈瑞医疗,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.758,33.94,13.2,358882652624.0,10574032192.810843,27188079744.242424
600809,2022-08-31,000300,沪深300,CSI 300,山西汾酒,Shanxi Xinghuacun Fen Wine Factory Co Ltd,上海证券交易所,Shanghai  Exchange,0.749,35.11,19.45,352027784450.0,10026425076.901169,18099114881.748074
600438,2022-08-31,000300,沪深300,CSI 300,通威股份,Tongwei Co Ltd,上海证券交易所,Shanghai  Exchange,0.748,9.61,5.19,235025830687.0,24456381965.3486,45284360440.655106
2415,2022-08-31,000300,沪深300,CSI 300,海康威视,Hangzhou Hikvision Digital Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.738,24.16,4.49,278279657211.0,11518197732.243378,61977651940.08908
600309,2022-08-31,000300,沪深300,CSI 300,万华化学,"Wanhua Chemical Group Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.728,13.15,3.86,273000969131.0,20760529971.939163,70725639671.24353
725,2022-08-31,000300,沪深300,CSI 300,京东方A,BOE Technology Group Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.727,10.55,1.09,139173602265.0,13191810641.232227,127682203912.84402
601899,2022-08-31,000300,沪深300,CSI 300,紫金矿业,Zijin Mining Group Co Ltd,上海证券交易所,Shanghai  Exchange,0.664,8.88,2.9,224325740285.0,25261907689.75225,77353703546.55173
601328,2022-08-31,000300,沪深300,CSI 300,交通银行,Bank of Communications Co LTD,上海证券交易所,Shanghai  Exchange,0.659,3.86,0.42,340123288034.0,88114841459.5855,809817352461.9048
600048,2022-08-31,000300,沪深300,CSI 300,保利发展,"Poly Developments and Holdings Group Co., Ltd.",上海证券交易所,Shanghai  Exchange,0.65,9.41,1.13,203736946974.0,21651110199.14984,180298183162.83188
1,2022-08-31,000300,沪深300,CSI 300,平安银行,"Ping An Bank Co., Ltd.",深圳证券交易所,Shenzhen  Exchange,0.648,5.5,0.71,242768036657.0,44139643028.545456,341926812192.95776
792,2022-08-31,000300,沪深300,CSI 300,盐湖股份,Qinghai Salt Lake Industry Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.633,7.96,7.87,145872738643.0,18325720935.05025,18535290805.972046
300498,2022-08-31,000300,沪深300,CSI 300,温氏股份,"GUANGDONGWENSFOODSTUFFGROUPCO.,LTD",深圳证券交易所,Shenzhen  Exchange,0.631,-22.33,5.37,157371748719.0,-7047548084.146888,29305726018.435753
2142,2022-08-31,000300,沪深300,CSI 300,宁波银行,Bank of Ningbo Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.619,8.73,1.34,196787005602.0,22541466850.17182,146855974329.85074
2466,2022-08-31,000300,沪深300,CSI 300,天齐锂业,"Tianqi Lithium Industries, Inc.",深圳证券交易所,Shenzhen  Exchange,0.618,8.36,7.47,172689334963.0,20656619014.71292,23117715523.828648
300274,2022-08-31,000300,沪深300,CSI 300,阳光电源,Sungrow Power Supply Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.606,89.61,10.15,161380852321.0,1800924587.8919764,15899591361.674877
2,2022-08-31,000300,沪深300,CSI 300,万科A,China Vanke Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.593,7.99,0.83,195395919113.0,24455058712.515644,235416770015.66266
603288,2022-08-31,000300,沪深300,CSI 300,海天味业,Foshan Haitian Flavouring and Food Company Ltd.,上海证券交易所,Shanghai  Exchange,0.586,53.26,15.32,361439035386.0,6786313093.991739,23592626330.678852
300124,2022-08-31,000300,沪深300,CSI 300,汇川技术,Shenzhen Inovance Technology Co Ltd,深圳证券交易所,Shenzhen  Exchange,0.579,38.67,8.93,152717374147.0,3949246810.111197,17101609646.920494
